Parent - Child Weight Probability Score
ITPR2 -> ITPR2 0.552324 1.000000 0.631505
PPP3CA -> ITPR2 0.487278 0.834147 0.464733
ADAM10 -> ITPR2 0.498483 0.763117 0.434935
ATF6 -> ITPR2 0.576897 0.939219 0.619510
PSEN1 -> ITPR2 0.564119 0.562162 0.362590
CACNA1D -> ITPR2 0.660232 0.968148 0.730838
PLCB2 -> ITPR2 0.875879 0.998557 1.000000
APAF1 -> ITPR2 0.699488 0.827820 0.662063
ADAM17 -> GNAQ 0.514473 0.902799 0.531052
PLCB2 -> GNAQ 0.448253 0.631397 0.323600
PSEN1 -> PPP3CA 0.279153 0.907079 0.289515
PSEN1 -> ADAM10 0.199995 0.538404 0.123115
ADAM17 -> ADAM10 0.245847 0.903498 0.253966
PLCB4 -> GSK3B 0.150676 0.795218 0.136998
TNFRSF1A -> ATF6 0.184236 0.617289 0.130031
CACNA1D -> ATF6 0.175479 0.695986 0.139640
PLCB2 -> SNCA 0.178517 0.526066 0.107375
APAF1 -> MAPK1 0.167677 0.785763 0.150643
PLCB1 -> COX4I1 0.152140 0.952901 0.165758
PLCB4 -> COX4I1 0.127653 0.851831 0.124328
UQCRB -> COX7C 0.163711 0.956826 0.179099
PPP3CC -> COX7C 0.134412 0.765745 0.117681
PLCB4 -> COX7C 0.115073 0.742492 0.097690
COX7C -> NDUFA4 0.119468 0.549062 0.074999
PPP3CC -> NDUFA4 0.129560 0.730451 0.108204
PLCB4 -> UQCRB 0.107195 0.756653 0.092737
LRP1 -> CALM1 0.154139 0.608284 0.107202
APP -> CALM1 0.158799 0.579144 0.105152
ADAM10 -> PPP3CC 0.106721 0.628862 0.076734
PLCB1 -> PPP3CC 0.123170 0.698310 0.098341
COX4I1 -> APP 0.152458 0.567120 0.098857
ADAM17 -> APP 0.156710 0.517857 0.092788
NDUFA4 -> PLCB4 0.270373 0.997621 0.308399
APP -> PLCB4 0.186554 0.817752 0.174425
PLCB1 -> PLCB4 0.209723 0.947148 0.227116
ADAM10 -> ITPR1 0.116935 0.804402 0.107547
COX4I1 -> ITPR1 0.176969 0.996374 0.201605
PPP3CB -> ITPR1 0.152137 0.768756 0.133723
ADAM17 -> ATP2A2 0.125630 0.619556 0.088993
PLCB2 -> ATP2A2 0.121963 0.521932 0.072782
ITPR1 -> PSEN1 0.100632 0.530004 0.060981
PSEN1 -> PSEN1 0.109033 0.545842 0.068047
PLCB1 -> TNFRSF1A 0.104074 0.584155 0.069511
TNFRSF1A -> TNFRSF1A 0.123979 0.674846 0.095662
PLCB2 -> PPP3CB 0.126424 0.875039 0.126485
ATF6 -> CACNA1D 0.137742 0.792573 0.124822
PSEN1 -> PLCB2 0.127070 0.869058 0.126263
ADAM17 -> APAF1 0.107564 0.779921 0.095918
